@@,statelabel,deputy,deputylabel,start
->,Nasarawa State,Q111080260->NULL,Emmanuel Agbadu Akabe,2019
+++,Zamfara State,Q5679766,Hassan Muhammed Gusau,2019
+++,Yobe State,"",Idi Barade Gubana,2019
+++,Taraba State,Q101438711,Haruna Manu,2015
+++,Sokoto State,"",Alhaji Mannir Dan’Iya,2015
+++,Rivers State,Q18719291,Ipalibo Banigo,2015
+++,Plateau State,Q18379330,Sonni Gwanle Tyoden,2015
+++,Oyo State,"",Rauf Aderemi Olaniyan,2019
+++,Osun State,"",Gboyega Alabi,2018
+++,Ondo State,Q105725595,Lucky Aiyedatiwa,2017
+++,Ogun State,Q96619780,Noimot Salako-Oyedele,2019
+++,Niger State,Q64009713,Ahmed Muhammad Ketso,2015
+++,Lagos State,Q16195565,Femi Hamzat,2019
+++,Kwara State,"",Kayode Alibi,2019
+++,Kogi State,Q80868413,Edward Onoja,2016
+++,Kebbi State,"",Samaila Yombe Dabai,2015
+++,Katsina State,Q84306008,Mannir Yakubu,2015
+++,Kano State,Q104704580,Nasir Yusuf Gawuna,2015
+++,Kaduna State,Q63032066,Hadiza Sabuwa Balarabe,2015
+++,Jigawa State,Q106774462,Umar Namadi,2015
+++,Imo State,Q106754948,Placid Njoku,2020
+++,Gombe State,Q64853275,Manasseh Daniel Jatau,2019
+++,Enugu State,Q65050810,Cecilia Ezeilo,2015
+++,Ekiti State,Q97467151,Bisi Egbeyemi,2018
+++,Edo State,Q28606434,Philip Shaibu,2016
+++,Ebonyi State,Q64853177,Eric Kelechi Igwe,2015
+++,Delta State,Q64745088,Kingsley Otuaro,2015
+++,Cross River State,Q64744038,Ivara Esu,2015
+++,Borno State,Q64747648,Umar Usman Kadafur,2019
+++,Benue State,Q19870558,Benson Abounu,2015
+++,Bayelsa State,Q86071960,Lawrence Ewhrudjakpo,2020
+++,Bauchi State,Q16886055,Baba Tela,2019
+++,Anambra State,Q27967798,Nkem Okeke,2018
+++,Akwa Ibom State,Q29857076,Moses Ekpo,2015
+++,Adamawa State,Q64738590,Crowther Seth,2019
+++,Abia State,Q21173950,Ude Oko Chukwu,2015
