@@,wdid,name,position,start,end
->,Q66309786,Suleiman Adamu Kazaure,Minister of Water Resources,2015-11-01->2015-11-11,NULL->2019-05-28
->,Q62356,Babatunde Fashola,"Minister of Works and Housing->Minister of Power, Works and Housing",2015-11-11,NULL->2019-05-28
->,Q59829052,Mohammed Musa Bello,Minister of the Federal Capital Territory,2015-05-29->2015-11-11,NULL->2019-05-28
->,Q47363740,Boss Mustapha,Secretary to the Government of the Federation,2017-11-01,NULL->2019-05-28
->,Q42559242,Zainab Ahmed,Minister of State for Budget and National Planning,2015-01-01->2015-11-11,2018-01-01->2018-09-19
->,Q41559149,Adamu Adamu,Education Minister of Nigeria->Minister of Education,2015-11-11,NULL->2019-05-28
->,Q361567,Muhammadu Buhari,Minister of Petroleum Resources,2015-11-11,NULL->2019-05-28
->,Q361567,Muhammadu Buhari,President of Nigeria->President,2015-05-29,NULL->2019-05-29
->,Q3510794,Chris Ngige,Nigerian Minister of Labour->Minister of Labour and Employment,2015-11-11,NULL->2019-05-28
->,Q23714146,Abubakar Malami,Minister of Justice->Minister of Justice and Attorney General of the Federation,2015-11-11,NULL->2019-05-28
->,Q23541058,Mansur Dan Ali,Minister of Defence of Nigeria->Minister of Defence,2015-11-11,2019-05-29->2019-05-28
->,Q21500792,Kemi Adeosun,Finance Minister of Nigeria->Minister of Finance,2015-11-11,2018-09-14
->,Q21467394,Geoffrey Onyeama,Minister of Foreign Affairs,2015-01-01->2015-11-11,NULL->2019-05-28
->,Q21067202,Babachir David Lawal,Secretary to the Government of the Federation,2015-08-27,2017-10-29->2017-10-30
->,Q21062079,Isaac Folorunso Adewole,Minister of Health,2015-11-11,2019-05-01->2019-05-28
->,Q21002307,Abba Kyari,Chief of Staff to the President,2015-08-27,2020-04-17->2019-05-29
->,Q20675806,Abdulrahman Bello Dambazau,Minister of Interior->Minister of the Interior,2015-11-01->2015-11-11,2019-05-01->2019-05-28
->,Q19730927,Yemi Osinbajo,Vice President of Nigeria->Vice President,2015-05-29,NULL->2019-05-29
->,Q19561129,Lai Mohammed,Minister of Information and Culture,2015-11-01->2015-11-11,NULL->2019-05-28
---,Q42559242,Zainab Ahmed,Finance Minister of Nigeria,2018-09-01,
+++,Q99162710,Mustapha Baba Shehuri,"Minister(s) of State for Power, Works and Housing",2015-11-11,2019-05-28
+++,Q7877282,Udoma Udo Udoma,Minister of Budget and National Planning,2015-11-11,2019-05-28
+++,Q7530281,Hadi Sirika,Minister of State for Aviation,2015-11-11,2019-05-28
+++,Q7370548,Rotimi Amaechi,Minister of Transportation,2015-11-11,2019-05-28
+++,Q6380660,Kayode Fayemi,Minister of Mines and Steel Development,2015-11-11,2018-05-30
+++,Q62670421,Osagie Ehanire,Minister of State for Health,2015-11-11,2019-05-28
+++,Q61995784,Stephen Ocheni,Minister of State for Labour and Employment,2017-08-16,2019-05-28
+++,Q61630007,Solomon Dalung,Minister of Youth and Sports Development,2015-11-11,2019-05-28
+++,Q60318992,Ibrahim Usman Jibril,Minister of Environment,2016-12-15,2018-12-12
+++,Q60318992,Ibrahim Usman Jibril,Minister of State for Environment,2015-11-11,2018-12-12
+++,Q4820218,Audu Innocent Ogbeh,Minister of Agriculture and Rural Development,2015-11-11,2019-05-28
+++,Q4746340,Amina Mohammed,Minister of Environment,2015-11-11,2016-12-15
+++,Q4699144,Aisha Alhassan,Minister of Women Affairs and Social Development,2015-11-11,2018-09-29
+++,Q42588916,Aisha Abubakar,Minister of Women Affairs and Social Development,2018-09-30,2019-05-28
+++,Q42588916,Aisha Abubakar,"Minister of State for Industry, Trade and Investment",2015-11-11,2018-09-30
+++,Q42559242,Zainab Ahmed,Minister of Finance,2018-09-14,2019-05-28
+++,Q41560178,Anthony Anwuka,Minister of State for Education,2015-11-11,2019-05-28
+++,Q27967823,Okechukwu Enelamah,"Minister of Industry, Trade and Investment",2015-11-11,2019-05-28
+++,Q27914853,Usani Uguru Usani,Minister of Niger Delta Affairs,2015-11-11,2019-05-28
+++,Q23022601,James Ocholi,Minister of State for Labour and Employment,2015-11-11,2016-03-06
+++,Q22005714,Emmanuel Ibe Kachikwu,Minister of State for Petroleum Resources,2015-11-11,2019-05-28
+++,Q22002965,Abdur-Raheem Adebayo Shittu,Minister of Communications,2015-11-11,2019-05-28
+++,Q18129932,Khadija Bukar Abba Ibrahim,Minister of State for Foreign Affairs,2015-11-11,2019-01-09
+++,Q13655513,Ogbonnaya Onu,Minister of Science and Technology,2015-11-11,2019-05-28
+++,Q13140667,Heineken Lokpobiri,Minister of State for Agriculture and Rural Development,2015-11-11,2019-05-28
+++,,Abubakar Bawa Bwari,Minister of Mines and Steel Development,2018-05-30,2019-05-28
+++,,Omole Daramola,Minister of State for Niger Delta Affairs,2015-11-11,2019-05-28
+++,,Suleiman Hassan Zarma,"Minister(s) of State for Power, Works and Housing",2017-08-16,2018-12-13
+++,,Habibat Lawal,Secretary to the Government of the Federation,2017-04-19,2017-11-01
+++,,Abubakar Bawa Bwari,Minister of State for Mines and Steel Development,2015-11-11,2019-05-28
+++,,Suleiman Hassan Zarma,Minister of Environment,2018-12-13,2019-05-28
