@@,item,itemlabel
->,Q7636116,Suleiman Adokwe->Suleiman Asonya Adokwe
->,Q7530281,Sirika Hadi->Hadi Sirika
->,Q5623995,Gyang Dalyop Datong->Gyang Datong
->,Q5381464,Enyinnaya Abaribe->Enyinnaya Abaribe Harcourt
->,Q5373159,Emmanuel Bwacha->Emmanuel G. Bwacha
->,Q5112997,Omoworare Babajide->Christopher Omoworare Babajide
->,Q4799876,Arthur Ifeanyi Okowa->Arthur Okowa Ifeanyi
->,Q4695864,Ahmed Lawan->Ahmed Ibrahim Lawan
->,Q3510720,Ahmad Sani Yerima->Ahmad Rufai Sani
->,Q20604531->NULL,Olubunmi Adetunbi
->,Q20604483->NULL,Nurudeen Abatemi Usman
->,Q20604335,Gilbert E. Nnaji->Gilbert Nnaji
->,Q13140698->NULL,Isa Muhammed Galaudu
->,Q13140670->NULL,Hosea Ayoola Agbola
->,Q13140574->NULL,Anthony Adeniyi
